"Week (2008-2009)","Visits","Unique Visits","Pageviews","Pages/Visit","Avg. Time on Site (secs.)","Bounce Rate","% New Visits","Revenue","Profit","Lbs. Sold","Inquiries","date","period"
"May 25 - May 31",1632,1509,3328,2.04,71,0.7267,0.8854,480728.006,118683.8,16585.183,13,2008-05-25,1
"Jun 1 - Jun 7",1580,1450,3097,1.96,56,0.7551,0.8734,641155.476,269604.7,18906.38,7,2008-06-01,1
"Jun 8 - Jun 14",1441,1306,3202,2.22,79,0.7398,0.8432,890076.65,275218.1,28052.924,5,2008-06-08,1
"Jun 15 - Jun 21",1452,1301,3170,2.18,81,0.7362,0.8437,552673.978,204153,19382.312,3,2008-06-15,1
"Jun 22 - Jun 28",1339,1255,2366,1.77,50,0.764,0.8925,750776.984,256091.4,24274.249,3,2008-06-22,1
"Jun 29 - Jul 5",892,841,1865,2.09,71,0.7365,0.8756,553054.693,178134.5,15308.721,5,2008-06-29,1
"Jul 6 - Jul 12",797,731,1885,2.37,80,0.6148,0.857,274567.612,62580.4,8633.059,16,2008-07-06,1
"Jul 13 - Jul 19",744,706,1916,2.58,96,0.5927,0.8884,619284.636,248458.4,17216.342,7,2008-07-13,1
"Jul 20 - Jul 26",1044,976,2670,2.56,82,0.6034,0.8669,674484.588,238498.1,17308.567,6,2008-07-20,1
"Jul 27 - Aug 2",906,850,2189,2.42,78,0.6336,0.8742,762559.123,230237.8,24571.171,6,2008-07-27,1
"Aug 3 - Aug 9",849,791,1947,2.29,91,0.6443,0.8704,479084.174,156660.1,14389.769,4,2008-08-03,1
"Aug 10 - Aug 16",737,685,1746,2.37,98,0.6282,0.8725,528270.716,186775.6,17230.826,9,2008-08-10,1
"Aug 17 - Aug 23",734,668,1946,2.65,100,0.624,0.8433,540675.973,164498.8,13801.994,10,2008-08-17,1
"Aug 24 - Aug 30",626,594,1540,2.46,91,0.6198,0.8658,768109.113,213673,26652.702,8,2008-08-24,1
"Aug 31 - Sep 6",577,537,1489,2.58,83,0.6205,0.8666,403820.108,135190.8,12402.826,8,2008-08-31,2
"Sep 7 - Sep 13",562,508,1428,2.54,82,0.589,0.8132,388745.035,148950.6,11695.439,11,2008-09-07,2
"Sep 14 - Sep 20",563,495,1547,2.75,112,0.5861,0.7851,622367.297,153421.6,26362.019,9,2008-09-14,2
"Sep 21 - Sep 27",652,585,1792,2.75,101,0.5613,0.8098,456011.808,158315.9,15771.648,6,2008-09-21,2
"Sep 28 - Oct 4",611,549,1928,3.16,109,0.5352,0.8118,951216.164,273174.7,31968.976,8,2008-09-28,2
"Oct 5 - Oct 11",561,500,1784,3.18,113,0.5365,0.7986,534541.676,167637,15531.268,10,2008-10-05,2
"Oct 12 - Oct 18",558,525,1455,2.61,97,0.6129,0.8602,537651.894,134114.7,19734.212,1,2008-10-12,2
